,Date,Time,Ticker,Price,Transaction Type,Shares before,Shares After,Balance Before,Balance After
180,Gold,2.6010000000000004,2019-10-07,Open,Buy,0,1488,3872.6929999999998,2.4049999999992906
181,Gold,2.6439999999999997,2019-10-11,Open,Sell,1488,0,2.4049999999992906,3936.6769999999988
182,Gold,2.6319999999999997,2019-10-14,Open,Buy,0,1495,3936.6769999999988,1.8369999999990796
183,Gold,2.6310000000000002,2019-10-18,Open,Sell,1495,0,1.8369999999990796,3935.1819999999993
184,Gold,2.655,2019-10-21,Open,Buy,0,1482,3935.1819999999993,0.4719999999997526
185,Gold,2.688,2019-10-23,Close,Sell,1482,0,0.4719999999997526,3984.088
186,Gold,2.678,2019-11-04,Open,Buy,0,1487,3984.088,1.9020000000004984
187,Gold,2.69,2019-11-04,Close,Sell,1487,0,1.9020000000004984,4001.9320000000002
188,Gold,2.696,2019-11-11,Open,Buy,0,1484,4001.9320000000002,1.068000000000211
189,Gold,2.654,2019-11-15,Open,Sell,1484,0,1.068000000000211,3939.6040000000003
190,Gold,2.6660000000000004,2019-11-18,Open,Buy,0,1477,3939.6040000000003,1.9219999999995707
191,Gold,2.657,2019-11-22,Open,Sell,1477,0,1.9219999999995707,3926.3109999999997
192,Gold,2.6710000000000003,2019-11-25,Open,Buy,0,1469,3926.3109999999997,2.6119999999991705
193,Gold,2.713,2019-11-26,Close,Sell,1469,0,2.6119999999991705,3988.008999999999
194,Gold,2.69,2019-12-02,Open,Buy,0,1482,3988.008999999999,1.4289999999991778
195,Gold,2.687,2019-12-06,Open,Sell,1482,0,1.4289999999991778,3983.5629999999987
