Date,Global X SuperDividend REIT_etf_Open_average,Global X SuperDividend REIT_etf_Open_max,Global X SuperDividend REIT_etf_Open_min,Global X SuperDividend REIT_etf_Open_volatility,Global X SuperDividend REIT_etf_Open_change,Global X SuperDividend REIT_etf_High_average,Global X SuperDividend REIT_etf_High_max,Global X SuperDividend REIT_etf_High_min,Global X SuperDividend REIT_etf_High_volatility,Global X SuperDividend REIT_etf_High_change,Global X SuperDividend REIT_etf_Low_average,Global X SuperDividend REIT_etf_Low_max,Global X SuperDividend REIT_etf_Low_min,Global X SuperDividend REIT_etf_Low_volatility,Global X SuperDividend REIT_etf_Low_change,Global X SuperDividend REIT_etf_Close_average,Global X SuperDividend REIT_etf_Close_max,Global X SuperDividend REIT_etf_Close_min,Global X SuperDividend REIT_etf_Close_volatility,Global X SuperDividend REIT_etf_Close_change
2019-07-14,14.9,14.9,14.9,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.82,14.82,14.82,0.0,0.0
2019-07-21,14.84,14.84,14.84,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.86,14.86,14.86,0.0,0.0
2019-07-28,14.74,14.74,14.74,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.67,14.67,14.67,0.0,0.0,14.88,14.88,14.88,0.0,0.0
2019-08-04,14.79,14.79,14.79,0.0,0.0,14.82,14.82,14.82,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.82,14.82,14.82,0.0,0.0
2019-08-11,14.34,14.34,14.34,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.48,14.48,14.48,0.0,0.0
2019-08-18,14.5,14.5,14.5,0.0,0.0,14.59,14.59,14.59,0.0,0.0,14.36,14.36,14.36,0.0,0.0,14.45,14.45,14.45,0.0,0.0
2019-08-25,14.38,14.38,14.38,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.4,14.4,14.4,0.0,0.0
2019-09-01,14.42,14.42,14.42,0.0,0.0,14.46,14.46,14.46,0.0,0.0,14.39,14.39,14.39,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2019-09-08,14.8,14.8,14.8,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2019-09-15,14.92,14.92,14.92,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.92,14.92,14.92,0.0,0.0
2019-09-22,15.03,15.03,15.03,0.0,0.0,15.06,15.06,15.06,0.0,0.0,14.92,14.92,14.92,0.0,0.0,15.05,15.05,15.05,0.0,0.0
2019-09-29,14.78,14.78,14.78,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.84,14.84,14.84,0.0,0.0
2019-10-06,14.94,14.94,14.94,0.0,0.0,15.0,15.0,15.0,0.0,0.0,14.91,14.91,14.91,0.0,0.0,14.95,14.95,14.95,0.0,0.0
2019-10-13,15.12,15.12,15.12,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.15,15.15,15.15,0.0,0.0
2019-10-20,15.28,15.28,15.28,0.0,0.0,15.31,15.31,15.31,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.21,15.21,15.21,0.0,0.0
2019-10-27,15.4,15.4,15.4,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.39,15.39,15.39,0.0,0.0
2019-11-03,15.2,15.2,15.2,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.07,15.07,15.07,0.0,0.0,15.11,15.11,15.11,0.0,0.0
2019-11-10,15.11,15.11,15.11,0.0,0.0,15.14,15.14,15.14,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.13,15.13,15.13,0.0,0.0
2019-11-17,15.08,15.08,15.08,0.0,0.0,15.09,15.09,15.09,0.0,0.0,14.99,14.99,14.99,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2019-11-24,15.32,15.32,15.32,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.32,15.32,15.32,0.0,0.0
2019-12-01,15.2,15.2,15.2,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.32,15.32,15.32,0.0,0.0
2019-12-08,15.1,15.1,15.1,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.1,15.1,15.1,0.0,0.0
2019-12-15,15.39,15.39,15.39,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.41,15.41,15.41,0.0,0.0
2019-12-22,15.5,15.5,15.5,0.0,0.0,15.54,15.54,15.54,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.51,15.51,15.51,0.0,0.0
2019-12-29,15.32,15.32,15.32,0.0,0.0,15.39,15.39,15.39,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.37,15.37,15.37,0.0,0.0
