Date,Guggenheim Solar_Open_average,Guggenheim Solar_Open_max,Guggenheim Solar_Open_min,Guggenheim Solar_Open_volatility,Guggenheim Solar_Open_change,Guggenheim Solar_High_average,Guggenheim Solar_High_max,Guggenheim Solar_High_min,Guggenheim Solar_High_volatility,Guggenheim Solar_High_change,Guggenheim Solar_Low_average,Guggenheim Solar_Low_max,Guggenheim Solar_Low_min,Guggenheim Solar_Low_volatility,Guggenheim Solar_Low_change,Guggenheim Solar_Close_average,Guggenheim Solar_Close_max,Guggenheim Solar_Close_min,Guggenheim Solar_Close_volatility,Guggenheim Solar_Close_change
2019-10-20,29.14,29.14,29.14,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2019-10-27,28.48,28.48,28.48,0.0,0.0,28.56,28.56,28.56,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2019-11-03,27.88,27.88,27.88,0.0,0.0,28.35,28.35,28.35,0.0,0.0,27.88,27.88,27.88,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2019-11-10,27.78,27.78,27.78,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2019-11-17,27.4,27.4,27.4,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2019-11-24,28.16,28.16,28.16,0.0,0.0,28.16,28.16,28.16,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2019-12-01,28.84,28.84,28.84,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2019-12-08,29.99,29.99,29.99,0.0,0.0,30.45,30.45,30.45,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2019-12-15,30.68,30.68,30.68,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2019-12-22,31.02,31.02,31.02,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2019-12-29,31.68,31.68,31.68,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.73,31.73,31.73,0.0,0.0
