Date,EXPR_Open_average,EXPR_Open_max,EXPR_Open_min,EXPR_Open_volatility,EXPR_Open_change,EXPR_High_average,EXPR_High_max,EXPR_High_min,EXPR_High_volatility,EXPR_High_change,EXPR_Low_average,EXPR_Low_max,EXPR_Low_min,EXPR_Low_volatility,EXPR_Low_change,EXPR_Close_average,EXPR_Close_max,EXPR_Close_min,EXPR_Close_volatility,EXPR_Close_change,EXPR_Volume_average,EXPR_Volume_max,EXPR_Volume_min,EXPR_Volume_volatility,EXPR_Volume_change
2019-04-21,3.624,3.7,3.56,0.14000000000000012,-0.0900000000000003,3.736,3.81,3.65,0.16000000000000014,0.06999999999999984,3.528,3.6,3.48,0.1200000000000001,0.08000000000000007,3.63,3.75,3.55,0.20000000000000018,0.20000000000000018,1687859,1885695,1293447,592248,129662
2019-04-28,3.8,3.92,3.65,0.27,0.16999999999999993,3.9,4.03,3.77,0.26000000000000023,0.16000000000000014,3.734,3.86,3.65,0.20999999999999996,0.1200000000000001,3.83,3.97,3.68,0.29000000000000004,0.1499999999999999,1426542,2081271,935940,1145331,-471805
2019-05-05,3.712,3.81,3.56,0.25,-0.25,3.746,3.84,3.58,0.2599999999999998,-0.2599999999999998,3.578,3.7,3.37,0.33000000000000007,-0.2999999999999998,3.65,3.79,3.4,0.3900000000000001,-0.3900000000000001,1351142,1837780,835404,1002376,281131
2019-05-12,3.404,3.44,3.34,0.10000000000000009,-0.020000000000000018,3.4619999999999997,3.53,3.42,0.10999999999999988,-0.06000000000000005,3.322,3.34,3.3,0.040000000000000036,0.009999999999999787,3.392,3.45,3.37,0.08000000000000007,-0.08000000000000007,1447447,1946707,1194558,752149,-341208
2019-05-19,3.34,3.45,3.27,0.18000000000000016,-0.10000000000000009,3.5025,3.64,3.41,0.22999999999999998,0.13000000000000034,3.255,3.29,3.23,0.06000000000000005,-0.04999999999999982,3.3925,3.58,3.24,0.33999999999999986,0.1299999999999999,2278224,3500297,1484568,2015729,2015729
2019-05-26,3.294,3.6,3.0,0.6000000000000001,-0.6000000000000001,3.346,3.71,3.1,0.6099999999999999,-0.6099999999999999,3.094,3.42,2.89,0.5299999999999998,-0.5299999999999998,3.182,3.44,3.01,0.43000000000000016,-0.3500000000000001,3981225,5487621,2972439,2515182,352215
2019-06-02,2.952,3.22,2.69,0.5300000000000002,-0.3999999999999999,3.014,3.27,2.73,0.54,-0.45999999999999996,2.786,3.09,2.61,0.48,-0.46999999999999975,2.846,3.18,2.65,0.5300000000000002,-0.5300000000000002,2322066,3107415,1722747,1384668,-818030
2019-06-09,2.656,2.71,2.57,0.14000000000000012,0.06000000000000005,2.748,2.83,2.64,0.18999999999999995,0.06000000000000005,2.596,2.68,2.52,0.16000000000000014,0.11000000000000032,2.674,2.73,2.6,0.1299999999999999,0.1299999999999999,1889654,2309749,1257253,1052496,-783849
2019-06-16,2.738,2.79,2.69,0.10000000000000009,0.03000000000000025,2.812,2.85,2.77,0.08000000000000007,-0.03000000000000025,2.688,2.74,2.65,0.0900000000000003,0.0900000000000003,2.732,2.78,2.68,0.09999999999999964,0.03000000000000025,2884221,5552737,1583353,3969384,1189770
2019-06-23,2.7359999999999998,2.76,2.68,0.07999999999999963,0.0,2.794,2.84,2.76,0.08000000000000007,0.08000000000000007,2.686,2.73,2.65,0.08000000000000007,0.0,2.714,2.76,2.67,0.08999999999999986,-0.009999999999999787,1910917,2267625,1051424,1216201,-127610
2019-06-30,2.6275,2.7,2.57,0.13000000000000034,-0.10000000000000009,2.6725,2.73,2.63,0.10000000000000009,-0.04999999999999982,2.5774999999999997,2.61,2.55,0.06000000000000005,-0.020000000000000018,2.6025,2.64,2.57,0.07000000000000028,-0.050000000000000266,1838139,2756522,1296733,1459789,-1410158
2019-07-07,2.578,2.61,2.53,0.08000000000000007,0.020000000000000018,2.624,2.66,2.6,0.06000000000000005,0.040000000000000036,2.53,2.56,2.48,0.08000000000000007,0.010000000000000231,2.568,2.6,2.52,0.08000000000000007,0.03000000000000025,1395220,1840736,853924,986812,-986812
2019-07-14,2.5380000000000003,2.66,2.44,0.2200000000000002,-0.16000000000000014,2.58,2.68,2.47,0.20999999999999996,-0.20999999999999996,2.468,2.58,2.39,0.18999999999999995,-0.18999999999999995,2.5140000000000002,2.67,2.45,0.21999999999999975,-0.21999999999999975,1676919,1975909,1200151,775758,775758
2019-07-21,2.428,2.47,2.38,0.0900000000000003,-0.0900000000000003,2.47,2.52,2.42,0.10000000000000009,-0.10000000000000009,2.366,2.4,2.29,0.10999999999999988,-0.10000000000000009,2.4,2.45,2.35,0.10000000000000009,-0.04999999999999982,997602,1181795,854144,327651,-178908
2019-07-28,2.3080000000000003,2.47,2.15,0.3200000000000003,-0.18000000000000016,2.364,2.49,2.17,0.3200000000000003,-0.20000000000000018,2.23,2.34,2.07,0.27,-0.2200000000000002,2.2880000000000003,2.47,2.16,0.31000000000000005,-0.18999999999999995,1208154,1655026,821570,833456,408485
2019-08-04,2.1260000000000003,2.18,1.97,0.2100000000000002,-0.2100000000000002,2.168,2.22,1.99,0.2300000000000002,-0.2300000000000002,2.044,2.11,1.95,0.15999999999999992,-0.15000000000000013,2.1,2.21,1.97,0.24,-0.24,1045275,1395080,657408,737672,334023
2019-08-11,1.946,2.0,1.86,0.1399999999999999,0.030000000000000027,2.028,2.16,1.9,0.26000000000000023,-0.0900000000000003,1.8900000000000001,1.97,1.83,0.1399999999999999,0.020000000000000018,1.966,2.07,1.86,0.20999999999999974,-0.04999999999999982,985760,1289828,802742,487086,-407501
2019-08-18,2.026,2.11,1.96,0.1499999999999999,-0.04999999999999982,2.082,2.14,2.03,0.11000000000000032,0.0,1.932,2.01,1.88,0.1299999999999999,0.06000000000000005,2.012,2.11,1.93,0.17999999999999994,0.09000000000000008,1191685,1494027,803976,690051,407266
