Date,WBI Power Factor High Dividend_Open_average,WBI Power Factor High Dividend_Open_max,WBI Power Factor High Dividend_Open_min,WBI Power Factor High Dividend_Open_volatility,WBI Power Factor High Dividend_Open_change,WBI Power Factor High Dividend_High_average,WBI Power Factor High Dividend_High_max,WBI Power Factor High Dividend_High_min,WBI Power Factor High Dividend_High_volatility,WBI Power Factor High Dividend_High_change,WBI Power Factor High Dividend_Low_average,WBI Power Factor High Dividend_Low_max,WBI Power Factor High Dividend_Low_min,WBI Power Factor High Dividend_Low_volatility,WBI Power Factor High Dividend_Low_change,WBI Power Factor High Dividend_Close_average,WBI Power Factor High Dividend_Close_max,WBI Power Factor High Dividend_Close_min,WBI Power Factor High Dividend_Close_volatility,WBI Power Factor High Dividend_Close_change
2019-04-07,25.57,25.57,25.57,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.57,25.57,25.57,0.0,0.0
2019-04-14,25.48,25.48,25.48,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2019-04-21,25.07,25.07,25.07,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2019-04-28,25.38,25.38,25.38,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.44,25.44,25.44,0.0,0.0
2019-05-05,24.73,24.73,24.73,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2019-05-12,24.59,24.59,24.59,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.6,24.6,24.6,0.0,0.0
2019-05-19,24.09,24.09,24.09,0.0,0.0,24.13,24.13,24.13,0.0,0.0,23.99,23.99,23.99,0.0,0.0,24.08,24.08,24.08,0.0,0.0
2019-05-26,23.07,23.07,23.07,0.0,0.0,23.14,23.14,23.14,0.0,0.0,22.92,22.92,22.92,0.0,0.0,23.0,23.0,23.0,0.0,0.0
2019-06-02,24.12,24.12,24.12,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2019-06-09,24.28,24.28,24.28,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.31,24.31,24.31,0.0,0.0
2019-06-16,24.51,24.51,24.51,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2019-06-23,24.23,24.23,24.23,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.53,24.53,24.53,0.0,0.0
