Date,CX_Open_average,CX_Open_max,CX_Open_volatility,CX_Open_change%,CX_High_average,CX_High_max,CX_High_volatility,CX_High_change%,CX_Low_average,CX_Low_max,CX_Low_volatility,CX_Low_change%,CX_Close_average,CX_Close_max,CX_Close_volatility,CX_Close_change%,CX_Volume_average,CX_Volume_max,CX_Volume_volatility,CX_Volume_change%
2018-02-04,7.692,7.98,0.5600000000000005,-3.359173126614984,7.842,8.11,0.5399999999999991,-6.195786864931846,7.4719999999999995,7.8,0.6499999999999995,-4.922279792746112,7.598,8.02,0.6599999999999993,-7.9800498753117175,15503789,22589308,12885451,19.817979394204325
2018-02-11,7.365,7.45,0.15000000000000036,1.2228260869565197,7.58,7.65,0.20000000000000018,2.684563758389264,7.325,7.37,0.08999999999999986,0.958904109589045,7.485,7.62,0.25,1.356852103120755,9417602,11080551,4387409,12.445299807086746
2018-02-18,7.218,7.38,0.3099999999999996,-4.200542005420049,7.272,7.39,0.27999999999999936,-3.788903924221913,7.038,7.16,0.2999999999999998,-4.1899441340782095,7.1,7.21,0.25,-3.333333333333336,10182849,12160848,4475339,-9.845793648600822
2018-02-25,6.7780000000000005,6.95,0.33999999999999986,-1.8705035971223005,6.938,7.05,0.28000000000000025,-1.2765957446808491,6.638,6.8,0.34999999999999964,1.7964071856287442,6.802,6.92,0.3700000000000001,2.377414561664179,12431605,16498835,9536234,-57.799438566419994
2018-03-04,7.09,7.34,0.4299999999999997,5.007153075822599,7.22,7.42,0.4500000000000002,4.6742209631728056,7.03,7.27,0.4399999999999995,3.597122302158273,7.146,7.35,0.4399999999999995,3.57653791130186,10414137,14196383,8385214,-28.066404472522283
2018-03-11,7.148,7.28,0.3799999999999999,-5.219780219780217,7.216,7.35,0.40999999999999925,-5.578231292516997,7.018,7.21,0.5,-6.934812760055479,7.074,7.33,0.5700000000000003,-7.776261937244206,8679513,10887484,3791959,17.966566142396665
2018-03-18,6.834,7.06,0.34999999999999964,4.28360413589365,6.952,7.18,0.3899999999999997,2.6162790697674376,6.742,6.89,0.2599999999999998,2.548725637181408,6.816,7.02,0.3799999999999999,5.247376311844072,15973601,32652410,23002689,16.79228860606436
2018-03-25,6.7575,7.01,0.45999999999999996,-5.1355206847360835,6.8125,7.07,0.41000000000000014,-5.657708628005662,6.5649999999999995,6.8,0.3700000000000001,-5.441176470588237,6.6225000000000005,6.82,0.3000000000000007,-4.252199413489737,11843450,19908252,13522415,-8.602378701910462
2018-04-01,6.76,7.12,0.6100000000000003,8.702290076335883,6.912,7.17,0.5499999999999998,8.308157099697883,6.702,7.0,0.5199999999999996,7.858243451463787,6.836,7.04,0.4400000000000004,6.666666666666673,8126063,9598551,2869438,-1.8693960847391966
2018-04-08,7.1240000000000006,7.15,0.040000000000000036,-0.2805049088358987,7.1659999999999995,7.22,0.09999999999999964,-0.6973500697350045,7.014,7.08,0.13999999999999968,-1.139601139601128,7.078,7.13,0.16000000000000014,-1.5536723163841852,5588684,7318611,3053764,-28.126006423896555
2018-04-15,7.016,7.17,0.3600000000000003,-2.5751072961373476,7.09,7.3,0.45999999999999996,-4.469273743016764,6.906,7.14,0.3899999999999997,-3.0172413793103443,6.972,7.19,0.4200000000000008,-5.049088359046287,5704896,6738070,1628567,-11.650469833627552
2018-04-22,6.572,6.84,0.5499999999999998,-8.040935672514617,6.622,6.88,0.5300000000000002,-7.703488372093028,6.346,6.59,0.41000000000000014,-6.069802731411221,6.422,6.62,0.41000000000000014,-6.051437216338885,10955997,17851756,13600955,135.9593874189829
2018-04-29,6.05,6.19,0.2400000000000002,-3.877221324717289,6.076,6.25,0.28000000000000025,-4.480000000000004,5.882,5.96,0.20000000000000018,-3.3557046979865803,5.948,6.07,0.2600000000000007,-4.283360790774311,9140113,10831154,3413411,3.346591959783606
2018-05-06,5.982,6.07,0.27000000000000046,3.448275862068969,6.042,6.16,0.21999999999999975,1.1784511784511682,5.89,5.99,0.1900000000000004,1.3793103448275874,5.966,6.04,0.15000000000000036,-0.8417508417508537,4809399,5871133,2284366,-23.632031500563862
