Date,First Trust ISE Global Wind EnergyEtf_Open_average,First Trust ISE Global Wind EnergyEtf_Open_max,First Trust ISE Global Wind EnergyEtf_Open_min,First Trust ISE Global Wind EnergyEtf_Open_volatility,First Trust ISE Global Wind EnergyEtf_Open_change,First Trust ISE Global Wind EnergyEtf_High_average,First Trust ISE Global Wind EnergyEtf_High_max,First Trust ISE Global Wind EnergyEtf_High_min,First Trust ISE Global Wind EnergyEtf_High_volatility,First Trust ISE Global Wind EnergyEtf_High_change,First Trust ISE Global Wind EnergyEtf_Low_average,First Trust ISE Global Wind EnergyEtf_Low_max,First Trust ISE Global Wind EnergyEtf_Low_min,First Trust ISE Global Wind EnergyEtf_Low_volatility,First Trust ISE Global Wind EnergyEtf_Low_change,First Trust ISE Global Wind EnergyEtf_Close_average,First Trust ISE Global Wind EnergyEtf_Close_max,First Trust ISE Global Wind EnergyEtf_Close_min,First Trust ISE Global Wind EnergyEtf_Close_volatility,First Trust ISE Global Wind EnergyEtf_Close_change
2020-02-09,15.42,15.42,15.42,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.41,15.41,15.41,0.0,0.0
2020-02-16,15.63,15.63,15.63,0.0,0.0,15.66,15.66,15.66,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.62,15.62,15.62,0.0,0.0
2020-02-23,14.16,14.16,14.16,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.0,14.0,14.0,0.0,0.0,14.34,14.34,14.34,0.0,0.0
2020-03-01,14.73,14.73,14.73,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.67,14.67,14.67,0.0,0.0
2020-03-08,12.25,12.25,12.25,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.25,12.25,12.25,0.0,0.0
2020-03-15,10.6,10.6,10.6,0.0,0.0,10.6,10.6,10.6,0.0,0.0,10.6,10.6,10.6,0.0,0.0,10.6,10.6,10.6,0.0,0.0
2020-03-22,11.94,11.94,11.94,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.94,11.94,11.94,0.0,0.0
2020-03-29,11.66,11.66,11.66,0.0,0.0,11.75,11.75,11.75,0.0,0.0,11.5,11.5,11.5,0.0,0.0,11.55,11.55,11.55,0.0,0.0
2020-04-05,12.5,12.5,12.5,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.6,12.6,12.6,0.0,0.0
2020-04-12,12.46,12.46,12.46,0.0,0.0,12.52,12.52,12.52,0.0,0.0,12.38,12.38,12.38,0.0,0.0,12.49,12.49,12.49,0.0,0.0
2020-04-19,12.26,12.26,12.26,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.14,12.14,12.14,0.0,0.0,12.23,12.23,12.23,0.0,0.0
2020-04-26,12.34,12.34,12.34,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.34,12.34,12.34,0.0,0.0
2020-05-03,12.76,12.76,12.76,0.0,0.0,12.76,12.76,12.76,0.0,0.0,12.76,12.76,12.76,0.0,0.0,12.76,12.76,12.76,0.0,0.0
2020-05-10,12.5,12.5,12.5,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.5,12.5,12.5,0.0,0.0
2020-05-17,12.9,12.9,12.9,0.0,0.0,12.93,12.93,12.93,0.0,0.0,12.84,12.84,12.84,0.0,0.0,12.93,12.93,12.93,0.0,0.0
2020-05-24,13.72,13.72,13.72,0.0,0.0,13.87,13.87,13.87,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.85,13.85,13.85,0.0,0.0
2020-05-31,14.68,14.68,14.68,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.68,14.68,14.68,0.0,0.0
2020-06-07,14.13,14.13,14.13,0.0,0.0,14.15,14.15,14.15,0.0,0.0,13.82,13.82,13.82,0.0,0.0,13.99,13.99,13.99,0.0,0.0
2020-06-14,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.11,14.11,14.11,0.0,0.0,14.13,14.13,14.13,0.0,0.0
2020-06-21,14.14,14.14,14.14,0.0,0.0,14.16,14.16,14.16,0.0,0.0,13.98,13.98,13.98,0.0,0.0,14.02,14.02,14.02,0.0,0.0
2020-06-28,14.59,14.59,14.59,0.0,0.0,14.59,14.59,14.59,0.0,0.0,14.59,14.59,14.59,0.0,0.0,14.59,14.59,14.59,0.0,0.0
2020-07-05,14.86,14.86,14.86,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.87,14.87,14.87,0.0,0.0
