Date,NPTN_stock_Open_average,NPTN_stock_Open_max,NPTN_stock_Open_min,NPTN_stock_Open_volatility,NPTN_stock_Open_change,NPTN_stock_High_average,NPTN_stock_High_max,NPTN_stock_High_min,NPTN_stock_High_volatility,NPTN_stock_High_change,NPTN_stock_Low_average,NPTN_stock_Low_max,NPTN_stock_Low_min,NPTN_stock_Low_volatility,NPTN_stock_Low_change,NPTN_stock_Close_average,NPTN_stock_Close_max,NPTN_stock_Close_min,NPTN_stock_Close_volatility,NPTN_stock_Close_change,NPTN_stock_Volume_average,NPTN_stock_Volume_max,NPTN_stock_Volume_min,NPTN_stock_Volume_volatility,NPTN_stock_Volume_change
2017-05-14,8.656,9.3,8.17,1.1300000000000008,-0.41999999999999993,8.976,9.65,8.39,1.2599999999999998,-1.2200000000000006,8.398,9.08,8.05,1.0299999999999994,-0.41999999999999993,8.64,9.34,8.15,1.1899999999999995,-1.0299999999999994,1531936,2831225,694084,2137141,-2137141
2017-05-21,8.962,9.2,8.55,0.6499999999999986,0.3199999999999985,9.234,9.54,9.09,0.4499999999999993,-0.009999999999999787,8.702,8.83,8.5,0.33000000000000007,0.2400000000000002,9.004,9.14,8.85,0.2900000000000009,-0.13000000000000078,1395890,1972997,839296,1133701,-577952
2017-05-28,9.0625,9.2,8.91,0.28999999999999915,0.1899999999999995,9.1925,9.39,9.07,0.3200000000000003,0.3000000000000007,8.795,9.02,8.55,0.46999999999999886,0.25,9.0625,9.2,8.92,0.27999999999999936,0.1999999999999993,1241782,1752064,974290,777774,-36180
2017-06-04,9.040000000000001,9.55,8.72,0.8300000000000001,0.45000000000000107,9.398,9.78,9.09,0.6899999999999995,0.5899999999999999,8.73,8.84,8.62,0.22000000000000064,-0.14000000000000057,9.02,9.55,8.81,0.7400000000000002,0.08999999999999986,1428094,2233410,870722,1362688,1309410
2017-06-11,8.882,9.06,8.68,0.3800000000000008,0.17999999999999972,9.068,9.22,8.91,0.3100000000000005,-0.2599999999999998,8.632,8.82,8.5,0.3200000000000003,-0.0600000000000005,8.932,9.06,8.85,0.21000000000000085,-0.09000000000000163,1232668,1851871,798927,1052944,517095
2017-06-18,8.6,9.02,8.29,0.7300000000000004,-0.6399999999999988,8.754,9.16,8.41,0.75,-0.47000000000000064,8.336,8.74,8.14,0.5999999999999996,-0.41999999999999993,8.496,8.96,8.25,0.7100000000000009,-0.3200000000000003,1084728,1318352,687353,630999,282105
2017-06-25,8.354000000000001,8.63,7.98,0.6500000000000004,-0.6500000000000004,8.402,8.7,8.02,0.6799999999999997,-0.6799999999999997,8.018,8.4,7.5,0.9000000000000004,-0.9000000000000004,8.178,8.51,7.72,0.79,-0.79,1137948,2560352,614035,1946317,1757448
2017-07-02,7.645,7.79,7.55,0.2400000000000002,-0.20000000000000018,7.815,7.94,7.7,0.2400000000000002,0.1200000000000001,7.515,7.55,7.47,0.08000000000000007,-0.05999999999999961,7.7125,7.93,7.59,0.33999999999999986,0.27999999999999936,579195,689004,490947,198057,198057
2017-07-09,8.15,8.36,7.75,0.6099999999999994,0.4499999999999993,8.326,8.43,8.22,0.20999999999999908,0.129999999999999,8.046,8.25,7.75,0.5,0.3000000000000007,8.25,8.4,8.16,0.2400000000000002,0.05000000000000071,637455,846427,418846,427581,51011
2017-07-16,8.2,8.41,7.98,0.4299999999999997,0.22000000000000064,8.338000000000001,8.48,8.13,0.34999999999999964,0.20000000000000107,8.084,8.2,7.96,0.23999999999999932,0.16000000000000014,8.24,8.43,8.02,0.41000000000000014,0.3699999999999992,430358,502467,327159,175308,87986
2017-07-23,8.309999999999999,8.62,8.04,0.5800000000000001,-0.08000000000000007,8.494,8.73,8.26,0.47000000000000064,-0.08999999999999986,8.106,8.34,7.88,0.45999999999999996,-0.11999999999999922,8.328,8.62,8.08,0.5399999999999991,-0.23000000000000043,753519,890005,599927,290078,35449
