Date,BREW_stock_Open_average,BREW_stock_Open_max,BREW_stock_Open_min,BREW_stock_Open_volatility,BREW_stock_Open_change,BREW_stock_High_average,BREW_stock_High_max,BREW_stock_High_min,BREW_stock_High_volatility,BREW_stock_High_change,BREW_stock_Low_average,BREW_stock_Low_max,BREW_stock_Low_min,BREW_stock_Low_volatility,BREW_stock_Low_change,BREW_stock_Close_average,BREW_stock_Close_max,BREW_stock_Close_min,BREW_stock_Close_volatility,BREW_stock_Close_change,BREW_stock_Volume_average,BREW_stock_Volume_max,BREW_stock_Volume_min,BREW_stock_Volume_volatility,BREW_stock_Volume_change
2017-05-28,16.925,17.45,16.7,0.75,0.6999999999999993,17.2875,17.7,16.85,0.8499999999999979,0.8499999999999979,16.740000000000002,17.3,16.4,0.9000000000000021,0.9000000000000021,17.0375,17.45,16.65,0.8000000000000007,0.7000000000000028,132958,232252,85692,146560,36870
2017-06-04,17.009999999999998,17.4,16.75,0.6499999999999986,-0.6499999999999986,17.256,17.45,16.95,0.5,-0.23000000000000043,16.662,16.9,16.4,0.5,-0.35999999999999943,16.919999999999998,17.15,16.7,0.4499999999999993,-0.29999999999999716,109229,128320,85263,43057,43057
2017-06-11,16.87,17.2,16.6,0.5999999999999979,-0.09999999999999787,17.014,17.2,16.85,0.34999999999999787,-0.17999999999999972,16.626,16.85,16.5,0.3500000000000014,-0.3500000000000014,16.84,17.1,16.65,0.45000000000000284,-0.45000000000000284,67708,81323,46485,34838,858
2017-06-18,16.759999999999998,17.15,16.65,0.5,-0.05000000000000071,17.06,17.3,16.9,0.40000000000000213,-0.3500000000000014,16.53,16.55,16.5,0.05000000000000071,0.0,16.75,17.2,16.55,0.6499999999999986,-0.6499999999999986,137314,375559,44574,330985,255945
2017-06-25,17.06,17.5,16.6,0.8999999999999986,0.3999999999999986,17.554,17.95,17.25,0.6999999999999993,0.0,16.78,16.85,16.6,0.25,0.1999999999999993,17.08,17.45,16.85,0.5999999999999979,-0.34999999999999787,123468,155269,47180,108089,6567
2017-07-02,17.3625,17.8,17.0,0.8000000000000007,0.3000000000000007,17.6,17.8,17.3,0.5,-0.5,17.0825,17.2,17.0,0.1999999999999993,0.05000000000000071,17.4125,17.75,17.2,0.5500000000000007,-0.5500000000000007,113802,218089,54902,163187,-63492
2017-07-09,17.21,17.45,16.8,0.6499999999999986,0.3000000000000007,17.46,17.7,17.2,0.5,0.5,17.024,17.4,16.5,0.8999999999999986,0.5799999999999983,17.29,17.55,16.85,0.6999999999999993,0.6999999999999993,65575,80644,52885,27759,-6730
2017-07-16,17.7,18.3,17.5,0.8000000000000007,0.8000000000000007,17.98,18.5,17.6,0.8999999999999986,0.8999999999999986,17.546,17.8,17.38,0.4200000000000017,0.3500000000000014,17.87,18.45,17.5,0.9499999999999993,0.8999999999999986,162049,295800,64884,230916,109444
2017-07-23,18.49,18.55,18.4,0.15000000000000213,0.10000000000000142,18.682,18.9,18.45,0.4499999999999993,0.4499999999999993,18.24,18.4,18.0,0.3999999999999986,0.25,18.47,18.65,18.3,0.34999999999999787,0.3000000000000007,140301,182090,105366,76724,-32605
2017-07-30,17.43,18.55,16.75,1.8000000000000007,-1.1500000000000021,18.006,18.55,17.2,1.3500000000000014,-0.4499999999999993,16.99,17.4,16.55,0.8499999999999979,0.0,17.27,17.75,16.75,1.0,0.25,199364,260304,161862,98442,-10310
2017-08-06,17.95,18.05,17.7,0.3500000000000014,0.3500000000000014,18.419999999999998,18.65,18.1,0.5499999999999972,0.1999999999999993,17.878,18.05,17.65,0.40000000000000213,0.40000000000000213,18.16,18.45,18.0,0.4499999999999993,0.34999999999999787,131718,186676,77749,108927,3775
2017-08-13,18.53,18.8,18.1,0.6999999999999993,-0.4499999999999993,19.0,19.2,18.8,0.3999999999999986,0.0,18.35,18.5,18.1,0.3999999999999986,-0.3999999999999986,18.62,18.9,18.3,0.5999999999999979,-0.10000000000000142,134188,168470,103787,64683,15340
